From Bank,To Bank,Amount Paid,Payment Currency,Payment Format,Is Laundering,Hour,Dayofweek
70,22661,70831.64,US Dollar,Cash,1,0,3
70,212996,33705.47,US Dollar,Cash,1,0,3
70,11305,1097976.27,US Dollar,Cash,1,0,3
11968,249349,892.33,US Dollar,ACH,1,0,3
70,11968,1808.14,US Dollar,Cheque,1,0,3
269198,1291,2365.38,US Dollar,ACH,1,0,3
70,212854,22478.74,Euro,Cash,1,0,3
70,115332,9626868.13,Euro,Cash,1,0,3
70,9976,76688.88,Yuan,Cash,1,0,3
70,111615,148561310.6,Yuan,Cash,1,0,3
70,23,166980.9,Ruble,Cheque,1,0,3
70,233674,5535.34,UK Pound,Cheque,1,0,3
70,54266,44.54,Swiss Franc,Cheque,1,0,3
70,258606,79144.33,Shekel,Credit Card,1,0,3
70,71716,4.229011,Bitcoin,Bitcoin,1,0,3
70,2368,3668.85,US Dollar,Cash,1,0,3
3440,111913,4169.96,US Dollar,ACH,1,0,3
70,215456,2787.01,US Dollar,Cheque,1,0,3
70,120364,1510.06,US Dollar,Cheque,1,0,3
113002,258196,2256.42,US Dollar,ACH,1,0,3
70,66573,321.83,US Dollar,Cheque,1,0,3
15607,15400,3646.67,Euro,ACH,1,0,3
70,38920,323.25,Euro,Credit Card,1,0,3
70,216,5219.38,Saudi Riyal,Cheque,1,0,3
13395,15786,32433.23,US Dollar,ACH,1,1,3
70,139833,3010.38,US Dollar,Credit Card,1,1,3
70,51448,1295.02,US Dollar,Credit Card,1,1,3
11756,211860,20463.79,Yuan,ACH,1,1,3
29900,13413,954.11,Yuan,ACH,1,1,3
5855,215187,3999.94,US Dollar,ACH,1,1,3
70,142059,9398.61,US Dollar,Cash,1,1,3
220987,214445,3555.71,Euro,ACH,1,1,3
70,18256,3775247.59,Yen,Cheque,1,1,3
112,152768,3766.77,Swiss Franc,ACH,1,1,3
70,24643,3572.59,Euro,Cheque,1,2,3
70,215505,61.74,Euro,Cash,1,2,3
25885,214554,21998892.66,Euro,ACH,1,2,3
70,224191,910433.16,Euro,Cash,1,2,3
70,110851,49.19,Euro,Cheque,1,2,3
169804,71657,0.233524,Bitcoin,Bitcoin,1,2,3
1812,110,10154.74,Australian Dollar,ACH,1,2,3
22595,110,5326.79,Australian Dollar,ACH,1,14,4
1120,110,4634.81,Australian Dollar,ACH,1,14,5
70,234680,689.61,US Dollar,Cheque,1,2,3
70,29158,1110.35,US Dollar,Cash,1,2,3
19414,23539,207216.83,Rupee,ACH,1,2,3
113,146768,366425.92,Mexican Peso,ACH,1,2,3
50901,249331,26150.86,Brazil Real,ACH,1,2,3
173079,169500,0.109248,Bitcoin,Bitcoin,1,2,3
3671,2557,8099.96,Euro,ACH,1,3,3
15,2557,10468.56,Euro,ACH,1,6,3
2557,2557,10270.07,Euro,ACH,1,10,3
12,2557,15645.21,Euro,ACH,1,6,4
21393,2557,14139.75,Euro,ACH,1,9,5
2175,2557,6276.26,Euro,ACH,1,13,5
20,2557,1042.63,Euro,ACH,1,16,5
22124,2557,12795.57,Euro,ACH,1,23,5
70,24562,328.61,Euro,Cheque,1,3,3
23726,33881,1414.28,Euro,ACH,1,3,3
23544,23033,267363.46,Rupee,ACH,1,3,3
148894,149453,11716.81,Brazil Real,ACH,1,3,3
70,65528,11286.43,Saudi Riyal,Cheque,1,3,3
70846,214,0.084541,Bitcoin,Bitcoin,1,3,3
70,15355,405.39,US Dollar,Cheque,1,3,3
23848,1835,13573.24,Euro,ACH,1,3,3
498,1835,3651.6,Euro,ACH,1,5,3
349,1835,6980.43,Euro,ACH,1,3,4
1835,12386,16003.44,Euro,ACH,1,17,4
1835,1595,8201.82,Euro,ACH,1,19,4
1835,224,7648.13,US Dollar,ACH,1,11,5
1835,11,9383.9,Euro,ACH,1,17,6
1835,2514,9340.49,Euro,ACH,1,12,0
1835,22086,18261.63,US Dollar,ACH,1,17,1
70,425,15496.46,Euro,Cash,1,3,3
18624,6090,319.07,Euro,ACH,1,3,3
61332,262055,601.71,Euro,ACH,1,3,3
170727,270372,0.121876,Bitcoin,Bitcoin,1,3,3
70,3389,2863.25,US Dollar,Cheque,1,4,3
70,153524,51.94,US Dollar,Cheque,1,4,3
22264,24070,1539.5,Euro,ACH,1,4,3
14213,14172,1247.4,Euro,ACH,1,4,3
70,110682,12970.37,Yuan,Cheque,1,4,3
70,23494,3124.69,Rupee,Cash,1,4,3
169261,170412,0.241306,Bitcoin,Bitcoin,1,4,3
19325,213123,1494.89,US Dollar,ACH,1,4,3
126588,116703,1372.52,US Dollar,ACH,1,4,3
70,1768,12.06,Euro,Cheque,1,4,3
70,118293,327.54,Euro,Cheque,1,4,3
